,Order,Seasonal Order,MAPE,AIC,BIC
63,"(1, 1, 2)","(0, 0, 0, 12)",0.09562996158481883,1213.59,1222.0
64,"(1, 1, 2)","(0, 0, 1, 12)",0.08421168764516256,977.03,987.0
65,"(1, 1, 2)","(0, 0, 2, 12)",0.0920189271450296,749.99,760.0
66,"(1, 1, 2)","(1, 0, 0, 12)",0.06705631883101064,999.37,1009.0
67,"(1, 1, 2)","(1, 0, 1, 12)",0.05611608291171618,959.43,971.0
68,"(1, 1, 2)","(1, 0, 2, 12)",0.05612034761677794,721.51,733.0
69,"(1, 1, 2)","(2, 0, 0, 12)",0.05324693451739091,770.26,781.0
70,"(1, 1, 2)","(2, 0, 1, 12)",0.05423112826150799,768.82,781.0
71,"(1, 1, 2)","(2, 0, 2, 12)",0.055559432775194616,730.06,743.0
72,"(1, 1, 3)","(0, 0, 0, 12)",0.0783786177120157,1186.31,1197.0
73,"(1, 1, 3)","(0, 0, 1, 12)",0.06636040910166034,951.35,963.0
74,"(1, 1, 3)","(0, 0, 2, 12)",0.06807027055540699,722.49,734.0
75,"(1, 1, 3)","(1, 0, 0, 12)",0.06486554737460541,1001.13,1013.0
76,"(1, 1, 3)","(1, 0, 1, 12)",0.05186436084218993,942.89,956.0
77,"(1, 1, 3)","(1, 0, 2, 12)",0.04107300946432829,711.94,725.0
78,"(1, 1, 3)","(2, 0, 0, 12)",0.04771556522229638,772.92,785.0
79,"(1, 1, 3)","(2, 0, 1, 12)",0.045524827357577846,770.13,784.0
80,"(1, 1, 3)","(2, 0, 2, 12)",0.037519286707925696,713.88,729.0
81,"(1, 1, 4)","(0, 0, 0, 12)",0.07599660082159623,1166.29,1179.0
82,"(1, 1, 4)","(0, 0, 1, 12)",0.07836124390514496,933.24,946.0
83,"(1, 1, 4)","(0, 0, 2, 12)",0.07833318585252969,702.41,715.0
84,"(1, 1, 4)","(1, 0, 0, 12)",0.06778016583098942,1002.85,1017.0
85,"(1, 1, 4)","(1, 0, 1, 12)",0.048793315359319515,924.42,940.0
86,"(1, 1, 4)","(1, 0, 2, 12)",0.06385593837318677,697.68,712.0
87,"(1, 1, 4)","(2, 0, 0, 12)",0.05427093957064733,774.04,788.0
88,"(1, 1, 4)","(2, 0, 1, 12)",0.04599376760085729,768.47,784.0
89,"(1, 1, 4)","(2, 0, 2, 12)",0.04685017265812834,695.54,712.0
90,"(2, 1, 0)","(0, 0, 0, 12)",0.08763515283659482,1231.05,1238.0
91,"(2, 1, 0)","(0, 0, 1, 12)",0.07739165948600915,1012.71,1021.0
92,"(2, 1, 0)","(0, 0, 2, 12)",0.07838422042953072,785.21,794.0
93,"(2, 1, 0)","(1, 0, 0, 12)",0.0659375837821778,986.38,994.0
94,"(2, 1, 0)","(1, 0, 1, 12)",0.057046269900094225,985.86,996.0
95,"(2, 1, 0)","(1, 0, 2, 12)",0.04190108512058333,777.17,787.0
96,"(2, 1, 0)","(2, 0, 0, 12)",0.04934091193431705,749.15,758.0
97,"(2, 1, 0)","(2, 0, 1, 12)",0.04994484973623974,750.73,761.0
98,"(2, 1, 0)","(2, 0, 2, 12)",0.06010827851791093,759.99,772.0
99,"(2, 1, 1)","(0, 0, 0, 12)",0.08547620588855197,1232.55,1241.0
100,"(2, 1, 1)","(0, 0, 1, 12)",0.08222221674759612,997.09,1007.0
101,"(2, 1, 1)","(0, 0, 2, 12)",0.08850209913928034,768.32,778.0
102,"(2, 1, 1)","(1, 0, 0, 12)",0.06585711106486841,981.43,991.0
103,"(2, 1, 1)","(1, 0, 1, 12)",0.054378208583593754,976.83,989.0
104,"(2, 1, 1)","(1, 0, 2, 12)",0.049931327488111965,744.79,757.0
